"band","bigram"
"AC/DC","yeah cover"
"AC/DC","oil cover"
"AC/DC","wanna cover"
"AC/DC","wanna cover"
"AC/DC","oil cover"
"AC/DC","oil cover"
"AC/DC","oil cover"
"AC/DC","walkin sideways"
"AC/DC","sideways sideway"
"AC/DC","sideway walkin"
"AC/DC","hatch walkin"
"AC/DC","walkin sideways"
"AC/DC","sideways sideway"
"AC/DC","sideway walkin"
"AC/DC","cream blues"
"AC/DC","blues ointment"
"AC/DC","em dead"
"AC/DC","dead walkin"
"AC/DC","walkin sideways"
"AC/DC","sideways sideway"
"AC/DC","sideway walkin"
"AC/DC","cream blues"
"AC/DC","blues ointment"
"AC/DC","stops em"
"AC/DC","em walking"
"AC/DC","walking sideway"
"AC/DC","sideway walkin"
"AC/DC","blues sideway"
"AC/DC","sideway walkin"
"AC/DC","walkin sideway"
"AC/DC","sideway walkin"
"AC/DC","rights sit"
"AC/DC","sit tight"
"AC/DC","uncle sam"
"AC/DC","sam stand"
"AC/DC","master plan"
"AC/DC","smoke damned"
"AC/DC","broke damned"
"AC/DC","monkey outta"
"AC/DC","dotted line"
"AC/DC","line boy"
"AC/DC","smoke damned"
"AC/DC","broke damned"
"AC/DC","smoke damned"
"AC/DC","smoke damned"
"AC/DC","damned 6x"
"AC/DC","red lights"
"AC/DC","bruised broke"
"AC/DC","gotta hit"
"AC/DC","head hit"
"AC/DC","danger danger"
"AC/DC","strangers stranger"
"AC/DC","stranger danger"
"AC/DC","talk danger"
"AC/DC","danger danger"
"AC/DC","strangers danger"
"AC/DC","danger danger"
"AC/DC","red lights"
"AC/DC","flashin people"
"AC/DC","raisin hell"
"AC/DC","natural charm"
"AC/DC","charm repeat"
"AC/DC","strangers repeat"
"AC/DC","town angus"
"AC/DC","time kick"
"AC/DC","heels lookin"
"AC/DC","lookin fine"
"AC/DC","riding blind"
"AC/DC","wind blowin"
"AC/DC","gonna move"
"AC/DC","sweating heat"
"AC/DC","heat soak"
"AC/DC","night decibel"
"AC/DC","decibel decibel"
"AC/DC","deep inside"
"AC/DC","love love"
"AC/DC","rocking standing"
"AC/DC","standing proud"
"AC/DC","proud decibel"
"AC/DC","roll decibel"
"AC/DC","decibel rain"
"AC/DC","gonna ride"
"AC/DC","hundred miles"
"AC/DC","night til"
"AC/DC","til dawn"
"AC/DC","dawn spread"
"AC/DC","joy goin"
"AC/DC","yeah hard"
"AC/DC","shock hit"
"AC/DC","ground decibel"
"AC/DC","decibel decibel"
"AC/DC","decibel decibel"
"AC/DC","burnin fear"
"AC/DC","fear goin"
"AC/DC","hole deep"
"AC/DC","violin bow"
"AC/DC","bow makes"
"AC/DC","hole deep"
"AC/DC","hole deep"
"AC/DC","hole firing"
"AC/DC","load deep"
"AC/DC","hole sell"
"AC/DC","soul deep"
"AC/DC","hole deep"
"AC/DC","hole deep"
"AC/DC","havin trouble"
"AC/DC","school head"
"AC/DC","wanna graduate"
"AC/DC","home call"
"AC/DC","ring 36"
"AC/DC","36 24"
"AC/DC","24 36"
"AC/DC","36 hey"
"AC/DC","crime dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","broken heart"
"AC/DC","double dealin"
"AC/DC","teardrops start"
"AC/DC","start fella"
"AC/DC","fella pick"
"AC/DC","social call"
"AC/DC","forget bout"
"AC/DC","ball hey"
"AC/DC","hey dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap yeahhh"
"AC/DC","nuts pick"
"AC/DC","phone leave"
"AC/DC","hey dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap ohhhh"
"AC/DC","ohhhh dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap concrete"
"AC/DC","concrete shoes"
"AC/DC","shoes cyanide"
"AC/DC","cyanide tnt"
"AC/DC","dirt cheap"
"AC/DC","cheap neck"
"AC/DC","neck ties"
"AC/DC","ties contracts"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap dirty"
"AC/DC","dirty deeds"
"AC/DC","deeds dirty"
"AC/DC","dirty deeds"
"AC/DC","deeds dirty"
"AC/DC","dirty deeds"
"AC/DC","dirt cheap"
"AC/DC","cheap ohhhhh"
"AC/DC","ohhhhh honey"
"AC/DC","honey yeah"
"AC/DC","yeah honey"
"AC/DC","outta sight"
"AC/DC","hypnotize mezmorize"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes breathin"
"AC/DC","breathin breathin"
"AC/DC","breathin heavy"
"AC/DC","heavy heavy"
"AC/DC","heavy heavy"
"AC/DC","heavy breathin"
"AC/DC","breathin send"
"AC/DC","send shivers"
"AC/DC","hypnotize mezmorize"
"AC/DC","dirty eyes"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
"AC/DC","eyes dirty"
"AC/DC","dirty eyes"
