"popsong_lyrics","singer","element_id"
"Can we work it out Can we be a family
I promise I'll be better? Mommy I'll do anything
Can we work it out Can we be a family
I promise I'll be better? Daddy please don't
leave","Pink",155
"Daddy please stop yellin? I can't stand the sound","Pink",156
"Make mama stop cryin? cuz I need you around
My mama she loves you? no matter what she says
its true
I know that she hurts you? but remember I love
you? too","Pink",157
"I ran away today? ran from the noise? ran away
Don't wanna go back to that place? but don't have
no choice? no way
It ain't easy growin up in World War III
Never knowin what love could be? well I've seen
I don't want love to destroy me like it did my
family","Pink",158
"Can we work it out Can we be a family
I promise I'll be better? Mommy I'll do anything
Can we work it out Can we be a family
I promise I'll be better? Daddy please don't
leave","Pink",159
"In our family portrait? we look pretty happy
""et's play pretend? let's act like it comes
naturally
I don't wanna have to split the holidays
I don't want two addresses
I don't want a step'brother anyways
And I don't want my mom to have to change her
last name","Pink",160
"In our family portrait we look pretty happy
We look pretty normal? let's go back to that
In our family portrait we look pretty happy
""et's play pretend? act like it goes naturally","Pink",161
"In our family portrait we look pretty happy
?Can we work it out Can we be a family?
We look pretty normal? let's go back to that
?I promise I'll be better? Mommy I'll do
anything?
In our family portrait we look pretty happy
?Can we work it out Can we be a family?
""et's play pretend act and like it comes so
naturally
?I promise I'll be better? Daddy please don't
leave?
In our family portrait we look pretty happy
?Can we work it out Can we be a family?
We look pretty normal? let's go back to that
?I promise I'll be better? Daddy please don't
leave?","Pink",162
"Daddy don't leave
Daddy don't leave
Daddy don't leave
Turn around please
Remember that the night you left you took my
shining star
Daddy don't leave
Daddy don't leave
Daddy don't leave
Don't leave us here alone","Pink",163
"Mom will be nicer
I'll be so much better? I'll tell my brother
Oh? I won't spill the milk at dinner
I'll be so much better? I'll do everything right
I'll be your little girl forever
I'll go to sleep at night","Pink",164
"Doo doo doo doo doo doo doo.....
[laughs]
we go where we like,
we got over time,
we get paid to rattle our chains
we go in the back,
paint our money black,
spend it on the enemy","Pink",165
"sleeping in the church,
riding in the dirt,
put a banner over my grave","Pink",166
"Make a body work,
make a begger hurt,
sell me something big and untamed","Pink",167
"[Chorus]","Pink",168
"Now our time, real good time,
(doo doo doo doo doo doo..)","Pink",169
"now our time, a real good time
(doo doo doo doo doo doo..)","Pink",170
"now our time, (SAID NOW OUR TIME),
a real good time (ITS A REALLY GOOD TIME!)","Pink",171
"B-a-a-a-a-by of mine","Pink",172
"we know how to pray,
party everyday,
make our desillation look plain
(not 2 sure if unsafe is the rite word)","Pink",173
"riding in a rut,
till the powers cut,
we dont even have a good name","Pink",174
"sleeping in the church,
riding in the dirt,
put a banner over my grave","Pink",175
"Make a body work,
make a begger hurt,
sell me something big and untamed","Pink",176
"[Chorus]","Pink",177
"...Now our time, real good time, oohh
(doo doo doo doo doo doo..)
now our time, a real good time
(doo doo........)
now our time, (NOW IT OUR TIME), a real good time","Pink",178
"B-a-a-a-a-by of mine","Pink",179
"doo doo doo doo....baby....i can fly...yeh
(sell me sumthin big and untamed)","Pink",180
"now are time, real good time ......oh,
(doo doo doo doo doo doo doo)
now our time (I SAID NOW OUR TIME),
(doo doo doo doo doo doo)
real good time (ITS A REALLY GOOD TIME)
now are time, real good time .....","Pink",181
"Feel good,
Real good, its the same old saying","Pink",182
"Real good,
Feel good, dont got no more brains","Pink",183
"Feel good,
Real good, its the same old saying....yeh
Feel good,
Real good, i dont got no more brain!","Pink",184
